i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0.0,1.0374783867419368,0.0,0.0
0.001,0.9513636877110231,0.0009513636877110231,0.08611469903091373
0.012,0.8770321726307809,0.010524386071569372,0.1604462141111559
0.023000000000000003,0.8566553231109585,0.01970307243155205,0.18082306363097833
0.034,0.8446918800194636,0.028719523920661766,0.19278650672247322
0.045000000000000005,0.8359075290637985,0.037615838807870935,0.20157085767813832
0.05600000000000001,0.8288961078386268,0.046418182038963106,0.20858227890331005
0.067,0.8230166294901787,0.05514211417584198,0.2144617572517581
0.07800000000000001,0.8179254583971984,0.06379818575498149,0.21955292834473839
0.08900000000000001,0.8134147843910302,0.07239391581080169,0.2240636023509066
0.1,0.8093499058603076,0.08093499058603076,0.22812848088162918
0.2,0.7830758046371774,0.1566151609274355,0.2544025821047594
0.34444444444444444,0.7587112467188033,0.26133387386981,0.2787671400231335
0.48888888888888893,0.7403097463891912,0.36192920934582684,0.2971686403527456
0.6333333333333333,0.7248270280694563,0.45905711777732233,0.3126513586724805
0.7777777777777779,0.7110756553751546,0.5530588430695648,0.3264027313667822
0.9222222222222223,0.6984374113251751,0.6441145015554394,0.3390409754167617
1.0666666666666667,0.6865227573996673,0.7322909412263118,0.35095562934226954
1.2111111111111112,0.6750413381836424,0.8175500651335226,0.3624370485582944
1.3555555555555556,0.6637352408793928,0.8997299931920659,0.373743145862544
1.5,0.6523295377655206,0.978494306648281,0.3851488489764162
1.8,0.6266643059499577,1.1279957507099239,0.4108140807919791
1.8333333333333335,0.6234865210537747,1.1430586219319203,0.41399186568816215
1.8666666666666667,0.6202105073393154,1.157726280366722,0.41726787940262144
1.9000000000000001,0.61682563971742,1.171968715463098,0.4206527470245168
1.9333333333333333,0.6133210988833604,1.18575412450783,0.4241572878585764
1.9666666666666668,0.6096861526391333,1.1990494335236288,0.42779223410280354
2.0,0.6059105220499276,1.2118210440998551,0.43156786469200925
2.033333333333333,0.6019848089446721,1.2240357781874998,0.4354935777972647
2.066666666666667,0.5979009518058067,1.235661967065334,0.4395774349361301
2.1,0.5936526381371848,1.2466705400880882,0.443825748604752
