Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028568831018561388,0.31641165917154956,0.1290345648801905,1.0601463296205493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158486059162423,0.30743279702169946,0.12912632573363939,1.067862774614802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741359166194467,0.2980072318619844,0.12922311850178814,1.0759623646046674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140978354120301,0.288300492513522,0.1293233257867634,1.0843027464538584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451944736561123,0.2783611981823323,0.12942651834362492,1.092842037524749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05709560122263807,0.26821386425831634,0.12953251526997148,1.1015590642671949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05931146312044967,0.25787323682320035,0.12964124013337408,1.1104410406859098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.0612658371963418,0.24734900713789046,0.12975267443569244,1.1194795144807235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302080510499598,0.23664787199600737,0.12986683803183863,1.1286685944459909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06461811091332985,0.22577459035259867,0.12998377980479733,1.1380040401332023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003535438196152071,0.2189436372741051,0.1300575970167051,1.1438683229201014,0.5216430029538884,0.4128762522785864,0.5871237482335538,1.8084501689000962,1.8084501689005654,1.8084501688765404,8.97145949973029,8.971423365491075,8.971381679763805,231.04290596342747,231.04697470722064,231.05166855294087,0.10795754771308554
254.5,0.02593976443318851,0.1890586434551945,0.13005757812025753,1.1655831922172373,0.5129186636750921,0.48494916554715933,0.5150508346437326,1.8084501688999928,1.8084501689005654,1.8084501688913261,7.585111590756931,7.5850512988867465,7.584981744068056,226.2197460928749,226.2265350049407,226.23436693230332,0.13388624022902645
257.5,0.03243316565879531,0.1491992259278225,0.13005758750059393,1.1930550499207817,0.4933751127283634,0.6423598698839931,0.357640129978959,1.8084501689146897,1.8084501689005654,1.8084501689083392,5.823692935304043,5.823597147362038,5.823486643028394,220.09172733968364,220.10251313739047,220.11495601238565,0.19407381583071875
260.5,0.03587792024475546,0.11420070241577895,0.13005763299615505,1.2167255791613005,0.45814975179644896,0.8599391069040517,0.14006089290454768,1.8084501687721963,1.8084501689005654,1.808450168777645,4.353906955927029,4.353765571154489,4.353602464715939,214.9783058493831,214.9942258861185,215.01259179955406,0.27187726427646564
263.5,0.03744992950175362,0.09433903571838317,0.13005764329409572,1.2300131429550647,0.4009578329179575,0.9800007876969751,0.019999213068716576,1.8084501685919923,1.8084501689005654,1.8084501691121115,3.549806120105795,3.5496502327423984,3.5494703956057494,212.18081924056014,212.1983722804474,212.2186220836644,0.29242551302677083
