i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0.0,1.0374783867097905,0.0,0.0
0.001,0.9513475738763946,0.0009513475738763946,0.08613081283339596
0.012,0.8768324775330304,0.010521989730396366,0.16064590917676014
0.023000000000000003,0.8562889956556224,0.01969464690007932,0.1811893910541681
0.034,0.8441621664378072,0.028701513658885444,0.19331622027198336
0.045000000000000005,0.835221704252764,0.03758497669137438,0.20225668245702655
0.05600000000000001,0.828061186171888,0.04637142642562573,0.20941720053790258
0.067,0.8220393776665164,0.0550766383036566,0.21543900904327418
0.07800000000000001,0.8168123435372243,0.0637113627959035,0.22066604317256622
0.08900000000000001,0.812172155096747,0.0722833218036105,0.22530623161304353
0.1,0.8079837625568308,0.08079837625568309,0.22949462415295974
0.2,0.780828976534813,0.15616579530696262,0.25664941017497755
0.34444444444444444,0.7557714056779177,0.2603212619557272,0.28170698103187286
0.48888888888888893,0.7371120096437885,0.36036587138140774,0.300366377066002
0.6333333333333333,0.7216254409156774,0.45702944591326233,0.31585294579411316
0.7777777777777779,0.708005185729869,0.5506707000121205,0.3294732009799215
0.9222222222222223,0.6955457871826992,0.6414477815129338,0.3419325995270913
1.0666666666666667,0.6837811437948056,0.729366553381126,0.35369724291498494
1.2111111111111112,0.6723356228324056,0.8142731432081357,0.365142763877385
1.3555555555555556,0.6608317440185365,0.895794141891794,0.37664664269125403
1.5,0.6487964921557292,0.9731947382335938,0.3886818945540613
1.8,0.6185411182433819,1.1133740128380873,0.41893726846640866
1.8333333333333335,0.6143537684438773,1.1263152421471085,0.4231246182659132
1.8666666666666667,0.6099238396113228,1.1385245006078026,0.42755454709846774
1.9000000000000001,0.6052309861524465,1.1499388736896485,0.432247400557344
1.9333333333333333,0.6002582262782432,1.1604992374712702,0.4372201604315473
1.9666666666666668,0.5949934904587895,1.1701538645689527,0.44248489625100107
2.0,0.5894307979928544,1.1788615959857087,0.4480475887169362
2.033333333333333,0.5835707242606807,1.1865938059967174,0.45390766244910985
2.066666666666667,0.5774199350941042,1.1933345325278153,0.46005845161568637
2.1,0.5709898361313185,1.199078655875769,0.46648855057847205
